content,rating,title,helpful_vote_count,author,received_at,external_id
"Absolutely love the new dashboard — finally see trends without exporting. Ship more of this.",5,Best update in months,42,alex.m,2026-03-30T09:15:00Z,gold-pos-001
"Onboarding was smooth; had my team imported in under ten minutes.",5,Fast setup,18,jordan.k,2026-03-31T14:22:00Z,gold-pos-002
"Support resolved my billing question same day. Polite and knew the product.",5,Great support experience,31,riley.p,2026-04-01T11:03:00Z,gold-pos-003
"The CSV export includes exactly the columns we need for finance. Thank you.",4,Export works for accounting,9,sam.t,2026-04-02T16:40:00Z,gold-pos-004
"Mobile app feels snappy now — no more frozen scroll on long threads.",4,Performance improved,27,morgan.d,2026-04-03T08:55:00Z,gold-pos-005
"Neutral: product is fine for basic reporting. Nothing exciting but it works.",3,Fine not flashy,4,casey.w,2026-04-04T19:10:00Z,gold-neu-001
"Meh. Does the job. Wish there were more templates out of the box.",3,Okay tool,2,devon.l,2026-04-05T10:00:00Z,gold-neu-002
"Invoice line items still wrong after the March update — finance is blocking rollout.",1,Billing totals mismatch,67,taylor.h,2026-04-06T07:30:00Z,gold-neg-billing-001
"Charged twice for the same seat. Support ticket open five days with no resolution.",1,Double charge,89,avery.n,2026-04-06T09:12:00Z,gold-neg-billing-002
"Annual renewal quote jumped 40% with no warning. Considering alternatives.",2,Surprise price hike,54,quinn.r,2026-04-07T13:45:00Z,gold-neg-pricing-001
"Export to Excel truncates long text fields — we are losing customer quotes in reports.",2,Export truncates text,41,jamie.c,2026-04-08T15:20:00Z,gold-neg-export-001
"PDF export is blank for any report over 500 rows. This is blocking our board deck.",1,PDF export broken,73,reese.m,2026-04-08T17:05:00Z,gold-neg-export-002
"App becomes unusable with 10k+ feedback items — search takes 30+ seconds.",1,Performance at scale,95,skyler.b,2026-04-09T08:00:00Z,gold-neg-perf-001
"Dashboard graphs spin forever on Chrome on M1. Safari is slightly better.",2,Slow dashboards,38,rowan.f,2026-04-09T10:33:00Z,gold-neg-perf-002
"First-run wizard crashed when I skipped SSO. Had to clear cookies to recover.",2,Onboarding crash,29,eden.v,2026-04-10T12:18:00Z,gold-neg-onboard-001
"Invite emails land in spam for half our org. IT says your SPF records look wrong.",2,Email deliverability,22,blake.s,2026-04-10T14:50:00Z,gold-neg-onboard-002
"Screen reader user: many buttons lack labels. Had to guess what icons do.",1,Accessibility gaps,61,cameron.j,2026-04-11T09:25:00Z,gold-neg-a11y-001
"Keyboard navigation breaks inside the filter drawer — tab order is a mess.",2,Keyboard trap in filters,33,drew.k,2026-04-11T11:40:00Z,gold-neg-a11y-002
"Live chat wait time 45+ minutes. Bot kept looping on password reset.",2,Support wait times,47,parker.q,2026-04-12T08:15:00Z,gold-neg-support-001
"Agent closed my ticket as solved without reading the attachment. Frustrating.",1,Ticket mishandled,58,sage.y,2026-04-12T10:22:00Z,gold-neg-support-002
"Love the product but the iOS app crashes when opening image attachments.",3,Mixed — great web awful mobile,19,finley.g,2026-04-13T07:55:00Z,gold-mix-001
"Solid analytics. Hate that I cannot schedule email digests to stakeholders.",3,Good core missing digests,14,harper.e,2026-04-13T09:30:00Z,gold-mix-002
"New dark mode is gorgeous. Still waiting on proper SAML group mapping.",4,UI win SSO gap,25,emery.o,2026-04-13T11:05:00Z,gold-mix-003
"Security team flagged lack of audit log export for compliance. Deal breaker for us.",2,Compliance audit logs,44,indigo.a,2026-04-14T08:40:00Z,gold-neg-security-001
